Sample_10X,Sample_CRISPR,Overlap
C3,F3,0.914541387024609
A4,H4,0.894276901987663
E2,E2,0.886099488609949
D4,E4,0.885750355057598
E5,E5,0.876807317792859
D2,D2,0.873218527315915
B3,G3,0.868677635588056
A2,A2,0.868630375341785
F2,F2,0.866738894907909
G3,B3,0.864308768154922
B5,B5,0.863913441024078
H2,H2,0.863124793114863
H4,A4,0.861173095313994
A1,B1,0.86041095890411
H3,A3,0.858908341915551
F3,C3,0.857693405652298
G5,G5,0.84979702300406
E4,D4,0.848837209302326
D1,E1,0.848109378337962
H5,H5,0.846205282514209
F1,A1,0.84579187953751
B4,G4,0.840924426450742
A5,A5,0.833222701626286
C5,C5,0.829240340537001
C2,C2,0.827358357936173
G2,G2,0.825772611284378
E1,F1,0.819086322869955
H1,H1,0.817826299494867
E3,D3,0.811852795921619
B1,C1,0.808333333333333
F5,F5,0.800354924578527
F4,C4,0.784738955823293
A3,H3,0.783612494341331
D3,E3,0.776963203158043
C1,D1,0.758207250927776
G4,B4,0.757374631268437
G1,G1,0.7555270289545
D5,D5,0.737493808816246
B2,B2,0.727819979934069
C4,F4,0.686768498313827
